update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,1024,2619.582117663132,0,0.0,0.0,0,0,0.0,0.0,0,0,1.939273715019226,0.1308703739196062,0.018958306405693293,0.0006205194695212413,0.04741007609347675,0.0,0.0,0,0
2,2048,2480.427743347985,0,0.07765000127255917,0.15562602146424442,0.0,0.46720001101493835,235.375,33.387638056622094,148.0,250.0,1.936005175113678,0.12645413726568222,0.029819102957844734,0.0016205995925702155,0.02945109114238774,0.07765000127255917,0.15562602146424442,0.0,0.46720001101493835
3,3072,2428.1869113227303,1,0.09070000238716602,0.18862352022771303,0.0,0.5716000199317932,231.75,42.8974066815233,119.0,250.0,1.937936395406723,0.09450987540185452,0.00851810141466558,0.0012774180067935959,0.014083450821112599,0.09070000238716602,0.18862352022771303,0.0,0.5716000199317932
4,4096,2258.5002266405145,1,0.07145000249147415,0.189038937767386,0.0,0.5716000199317932,233.625,43.32417771868267,119.0,250.0,1.9369468688964844,0.06920884735882282,0.023041493259370327,0.00044203489960636944,0.014134430872474762,0.07145000249147415,0.189038937767386,0.0,0.5716000199317932
5,5120,2332.245285651994,2,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.933869183063507,0.06075697019696236,0.011480939807370305,0.00012680451982305385,0.010671638850898883,0.0,0.0,0.0,0.0
6,6144,2420.586296953814,2,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.9371747076511383,0.044277794659137726,0.012371452758088708,0.00018120742242899723,0.009021919707875357,0.0,0.0,0.0,0.0
7,7168,2318.042928646911,3,0.028699999675154686,0.07593306176809383,0.0,0.2295999974012375,245.5,11.905880899790658,214.0,250.0,1.9426840543746948,0.039078615605831146,0.003368825593497604,0.00023200773284770548,0.005212188564850772,0.028699999675154686,0.07593306176809383,0.0,0.2295999974012375
8,8192,2425.069193199591,3,0.06864999793469906,0.1210153565540243,0.0,0.319599986076355,237.875,21.911398289474818,189.0,250.0,1.9405730366706848,0.03158370964229107,0.0029297980945557356,0.0005334322486305609,0.004676305281287086,0.06864999793469906,0.1210153565540243,0.0,0.319599986076355
9,9216,2428.6633632069684,3,0.03994999825954437,0.10569776027221764,0.0,0.319599986076355,242.375,20.173853746867504,189.0,250.0,1.9414262473583221,0.024586907122284174,0.0048181748716160655,4.2409641537233256e-05,0.0029863251148929447,0.03994999825954437,0.10569776027221764,0.0,0.319599986076355
10,10240,2401.5630106156045,4,0.025100000202655792,0.06640835844389806,0.0,0.20080000162124634,246.5,9.260129588726068,222.0,250.0,1.9433159828186035,0.02414999157190323,0.002630529779708013,0.000224127858018619,0.005440351076889517,0.025100000202655792,0.06640835844389806,0.0,0.20080000162124634
11,11264,2472.5170276837666,4,0.05649999901652336,0.09866868599817524,0.0,0.25119999051094055,241.25,15.55434023030228,208.0,250.0,1.944082349538803,0.025324127171188593,0.0010092844895552844,0.0003307855440652929,0.004700727250455123,0.05649999901652336,0.09866868599817524,0.0,0.25119999051094055
12,12288,2439.658352073498,5,0.03139999881386757,0.0830765880292167,0.0,0.25119999051094055,244.75,13.890194383089101,208.0,250.0,1.9431325793266296,0.016906880773603916,0.004501471994444728,2.5451700821577106e-05,0.0036170078596429473,0.03139999881386757,0.0830765880292167,0.0,0.25119999051094055
13,13312,2298.5107442147464,5,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.943143367767334,0.01799380825832486,0.0032106125145219266,0.00010333178033761214,0.004385425581028503,0.0,0.0,0.0,0.0
14,14336,2323.5595016995385,6,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.944215178489685,0.01266331016086042,0.003932261432055384,3.672420825751033e-05,0.002468587476642869,0.0,0.0,0.0,0.0
15,15360,2394.3254311630376,6,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.944880872964859,0.007884774822741747,0.0012931423407280818,1.9729787254618714e-05,0.002205885187236966,0.0,0.0,0.0,0.0
16,16384,2391.713468874076,6,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.945103645324707,0.0061403454747051,0.00028579776699189097,5.326074460754171e-05,0.0016240310784551054,0.0,0.0,0.0,0.0
17,17408,2509.3259390909802,7,0.10600000061094761,0.22788813227355034,0.0,0.6940000057220459,227.5,54.08326913195984,85.0,250.0,1.9403983056545258,0.012498855125159025,-0.005645490775350481,0.002331098192371428,0.011715172078689969,0.10600000061094761,0.22788813227355034,0.0,0.6940000057220459
18,18432,2422.259975049686,7,0.15395000018179417,0.18728977022761006,0.0,0.5428000092506409,221.125,41.371601068849145,127.0,250.0,1.9227015376091003,0.029058683197945356,-0.011501197470352054,0.002644943946506828,0.01874549611431395,0.15395000018179417,0.18728977022761006,0.0,0.5428000092506409
19,19456,2382.054037265703,8,0.24970000423491,0.24002656590805366,0.0,0.5752000212669373,198.0,56.40257086339239,118.0,250.0,1.9198338985443115,0.036785781383514404,-0.013855789205990732,0.0030735527398064733,0.025325678457115107,0.24970000423491,0.24002656590805366,0.0,0.5752000212669373
20,20480,2370.0281017392663,8,0.2663500029593706,0.28564512659755387,0.0,0.8452000021934509,193.375,70.25122329895758,43.0,250.0,1.9266957342624664,0.05163477919995785,-0.029977033846080303,0.005483882618136704,0.027421223649407432,0.2663500029593706,0.28564512659755387,0.0,0.8452000021934509
21,21504,2308.296923949233,9,0.4461500011384487,0.24244520386044005,0.0,0.7084000110626221,150.375,61.312595565674755,81.0,250.0,1.8912244737148285,0.12210668623447418,-0.04151571448892355,0.009704530471935868,0.09431157498240351,0.4461500011384487,0.24244520386044005,0.0,0.7084000110626221
22,22528,2306.976465975195,9,0.5389199942350388,0.2486250811696034,0.0,0.852400004863739,125.3,63.30410729170738,41.0,250.0,1.8902990520000458,0.14479512348771095,-0.033701456151902676,0.010226101847365499,0.05827548809571094,0.5389199942350388,0.2486250811696034,0.0,0.852400004863739
