update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,1024,2469.0942902262786,20,0.0840499997138977,0.22237539693802333,0.0,0.6723999977111816,11.375,30.095421163359717,0.0,91.0,1.6513175666332245,0.718164712190628,0.12332632578909397,0.001563763216836378,0.12439669291788819,0.0840499997138977,0.22237539693802333,0.0,0.6723999977111816
2,2048,2448.8892654587667,21,0.1765500009059906,0.24645477785149608,0.0,0.6723999977111816,211.375,56.255971905211986,91.0,250.0,1.71638622879982,0.537254199385643,0.1612204685807228,0.014793034177273512,0.13203284682043287,0.1765500009059906,0.24645477785149608,0.0,0.6723999977111816
3,3072,2419.6085533672813,21,0.11274999752640724,0.2090879585247419,0.0,0.6003999710083008,225.625,47.04236787195134,111.0,250.0,1.7934658825397491,0.45395199209451675,0.09122310020029545,0.004417981370352209,0.10091751418784495,0.11274999752640724,0.2090879585247419,0.0,0.6003999710083008
4,4096,2462.52139801185,22,0.1301999967545271,0.204381400588094,0.0,0.6003999710083008,224.25,46.34854366644113,111.0,250.0,1.8386092483997345,0.3193647637963295,0.10302512161433697,0.008524628588929772,0.11682168164360182,0.1301999967545271,0.204381400588094,0.0,0.6003999710083008
5,5120,2420.5753833217423,22,0.04794999957084656,0.08653379370181538,0.0,0.24040000140666962,243.625,12.941575445053049,211.0,250.0,1.8869180381298065,0.25079265236854553,0.05627184920012951,0.0018978170701302588,0.05391195976236139,0.04794999957084656,0.08653379370181538,0.0,0.24040000140666962
6,6144,2414.1385259534513,22,0.08475000038743019,0.11652458062363742,0.0,0.2980000078678131,236.875,20.27583228871259,195.0,250.0,1.9040366113185883,0.1769973374903202,0.05119999032467604,0.002153648529201746,0.04190987086650909,0.08475000038743019,0.11652458062363742,0.0,0.2980000078678131
7,7168,2439.0072035022026,23,0.07854999788105488,0.16165270273177196,0.0,0.4887999892234802,235.125,35.381624821367375,142.0,250.0,1.9180794060230255,0.14255796000361443,0.0256062732078135,0.001305178418988362,0.019638213057133584,0.07854999788105488,0.16165270273177196,0.0,0.4887999892234802
8,8192,2449.70777016718,23,0.06109999865293503,0.16165540154204758,0.0,0.4887999892234802,236.5,35.71764269937197,142.0,250.0,1.9160504937171936,0.10625340603291988,0.03237286116927862,0.0008013626211322844,0.022483424553232895,0.06109999865293503,0.16165540154204758,0.0,0.4887999892234802
9,9216,2420.3680430090562,24,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.9202387928962708,0.0814871247857809,0.020879874471575022,0.0004095770127605647,0.018307190239449926,0.0,0.0,0.0,0.0
10,10240,2420.3339443854306,24,0.08755000121891499,0.18060625321527302,0.0,0.5464000105857849,232.625,40.59845286461049,126.0,250.0,1.9172773361206055,0.07515578903257847,0.007980483816936612,0.0018964117334689945,0.013773743599332694,0.08755000121891499,0.18060625321527302,0.0,0.5464000105857849
11,11264,2441.0130230030995,25,0.18915000557899475,0.24880735736356058,0.0,0.5716000199317932,207.875,55.97418489804028,119.0,250.0,1.9123469293117523,0.07166511937975883,-0.002358285288210027,0.002566040901001543,0.021918717489717573,0.18915000557899475,0.24880735736356058,0.0,0.5716000199317932
12,12288,2438.223515553373,25,0.3369000069797039,0.21946806819049172,0.0,0.5716000199317932,177.25,50.6106461132438,119.0,250.0,1.9188461899757385,0.07257386576384306,-0.007478450716007501,0.0016050169651862234,0.02518773309923958,0.3369000069797039,0.21946806819049172,0.0,0.5716000199317932
