update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,1024,2342.0698362010958,39,0.07325000315904617,0.19380129189353182,0.0,0.5860000252723694,14.375,38.03267509655349,0.0,115.0,1.799842119216919,0.7532759457826614,0.13015232980251312,0.0022017097799107432,0.10323329378078197,0.07325000315904617,0.19380129189353182,0.0,0.5860000252723694
2,2048,2295.5267597925404,40,0.07325000315904617,0.19380129189353182,0.0,0.5860000252723694,233.125,44.64705337421496,115.0,250.0,1.8483297228813171,0.49689625203609467,0.1793900579214096,0.01963997446000576,0.15359228928127996,0.07325000315904617,0.19380129189353182,0.0,0.5860000252723694
3,3072,2396.567272629877,40,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.8707598745822906,0.41992003470659256,0.09086086228489876,0.004532949882559478,0.10035602897608709,0.0,0.0,0.0,0.0
4,4096,2419.3400508318764,41,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.8933445811271667,0.27411743253469467,0.10487005300819874,0.0075538348173722625,0.0766215652188423,0.0,0.0,0.0,0.0
5,5120,2343.265853309895,41,0.06289999932050705,0.1664177556681934,0.0,0.5031999945640564,236.0,37.04051835490427,138.0,250.0,1.8979930877685547,0.2198779098689556,0.03952036518603563,0.0013343478203751147,0.023861314971676692,0.06289999932050705,0.1664177556681934,0.0,0.5031999945640564
6,6144,2385.3057913110897,41,0.10374999791383743,0.18503241967189907,0.0,0.5031999945640564,228.125,39.81971088543964,138.0,250.0,1.9140669405460358,0.15893305465579033,0.045892808586359024,0.001712324476102367,0.02513654821526431,0.10374999791383743,0.18503241967189907,0.0,0.5031999945640564
7,7168,2417.9861799355726,42,0.04084999859333038,0.10807893733529055,0.0,0.32679998874664307,242.125,20.83529157463365,187.0,250.0,1.914933443069458,0.1156740840524435,0.027031770441681147,0.00039825339626986533,0.01819563058967675,0.04084999859333038,0.10807893733529055,0.0,0.32679998874664307
8,8192,2406.682107653195,42,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.923090547323227,0.0767362080514431,0.02719723992049694,0.0005479607134475373,0.016532663387289464,0.0,0.0,0.0,0.0
9,9216,2368.920897847161,43,0.06469999998807907,0.1711801097943392,0.0,0.5175999999046326,235.5,38.363394010436565,134.0,250.0,1.9281307458877563,0.07009917870163918,0.0063876450003590435,0.0016826445062179118,0.017368048587724498,0.06469999998807907,0.1711801097943392,0.0,0.5175999999046326
10,10240,2367.5863092383424,43,0.18420000188052654,0.2710650160773273,0.0,0.7372000217437744,209.25,63.82544555269473,73.0,250.0,1.924631118774414,0.068178566172719,0.0005461354739964008,0.0035635948297567666,0.021474307289518272,0.18420000188052654,0.2710650160773273,0.0,0.7372000217437744
