update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,1024,2311.0530496985116,37,0.20230000466108322,0.3540000509035855,0.0,0.9100000262260437,13.25,26.88284769141841,0.0,81.0,1.5775976181030273,0.7215184420347214,0.127159733325243,0.001929263467900455,0.14660471062829186,0.20230000466108322,0.3540000509035855,0.0,0.9100000262260437
2,2048,2222.61814301557,37,0.26554999873042107,0.27642058118413687,0.0,0.7084000110626221,190.125,63.55792141818359,81.0,250.0,1.6955552697181702,0.5512675344944,0.14938827604055405,0.011330692563205957,0.11376984165172692,0.26554999873042107,0.27642058118413687,0.0,0.7084000110626221
3,3072,2227.6755110466574,38,0.08574999868869781,0.1530385465678469,0.0,0.41679999232292175,233.125,30.97352700291008,162.0,250.0,1.787351816892624,0.43298404663801193,0.10556977614760399,0.0073662836803123355,0.11940162083054419,0.08574999868869781,0.1530385465678469,0.0,0.41679999232292175
4,4096,2367.104816419841,38,0.033649999648332596,0.08902953068689898,0.0,0.26919999718666077,244.125,15.54378895250447,203.0,250.0,1.8664687275886536,0.3151097372174263,0.09772364608943462,0.007492437958717346,0.13121135448430254,0.033649999648332596,0.08902953068689898,0.0,0.26919999718666077
5,5120,2362.47475708129,39,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.8980644941329956,0.23832857981324196,0.0616950923576951,0.0024739906075410545,0.05297791976044362,0.0,0.0,0.0,0.0
6,6144,2232.006381664045,39,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.921207755804062,0.16420943289995193,0.049029022455215454,0.002003532717935741,0.04275649021096762,0.0,0.0,0.0,0.0
7,7168,2243.4260045088245,39,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.9264487326145172,0.12049587443470955,0.034474375657737255,0.000769195961765945,0.022358337301130578,0.0,0.0,0.0,0.0
8,8192,2308.8950366711233,40,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.926017314195633,0.08926821686327457,0.025097597390413284,0.0005429707962321118,0.020015562642736472,0.0,0.0,0.0,0.0
9,9216,2301.7861868196414,40,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.9327512979507446,0.06952492147684097,0.01962896017357707,0.0003607104445109144,0.015337475715350032,0.0,0.0,0.0,0.0
10,10240,2294.302978503366,41,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.935431808233261,0.05455352086573839,0.014907616190612316,0.00021899727289564908,0.010117253714082413,0.0,0.0,0.0,0.0
11,11264,2138.714916840952,41,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.936116635799408,0.04743905831128359,0.012760255951434374,0.00012093980330973864,0.006678841081938313,0.0,0.0,0.0,0.0
12,12288,2257.0593661056996,42,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.938657969236374,0.03709941357374191,0.010402064304798841,0.00011292663475614972,0.006215215088043327,0.0,0.0,0.0,0.0
13,13312,2187.865073664628,42,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.938659280538559,0.028929572086781263,0.008174478309229016,7.286119125637924e-05,0.004382277052297028,0.0,0.0,0.0,0.0
14,14336,2201.038209186829,43,0.08665000088512897,0.16242253078699598,0.0,0.4708000123500824,232.875,34.312670764602395,147.0,250.0,1.94033744931221,0.03634919784963131,-0.004501064802752808,0.0017492057813797146,0.011540756495318067,0.08665000088512897,0.16242253078699598,0.0,0.4708000123500824
15,15360,2271.9105066742836,43,0.1396500002592802,0.19198744244743923,0.0,0.4708000123500824,221.625,40.96320757704406,147.0,250.0,1.9377869665622711,0.027441022451967,0.0017304412031080574,0.0008286782831419259,0.009272438039415505,0.1396500002592802,0.19198744244743923,0.0,0.4708000123500824
16,16384,2217.579105960299,44,0.09115000069141388,0.16064575203625095,0.0,0.42399999499320984,231.625,32.87832682786641,160.0,250.0,1.938144862651825,0.02231704769656062,-0.0007669233018532395,0.0005087077661301009,0.006710708438127633,0.09115000069141388,0.16064575203625095,0.0,0.42399999499320984
17,17408,2209.4294206672475,44,0.06785000115633011,0.17951422951509438,0.0,0.5428000092506409,234.625,40.67842640761808,127.0,250.0,1.9363435804843903,0.0258379396982491,-0.004247100761858746,0.0010418591555207968,0.011741347523289451,0.06785000115633011,0.17951422951509438,0.0,0.5428000092506409
18,18432,2212.240347450573,45,0.06785000115633011,0.17951422951509438,0.0,0.5428000092506409,234.625,40.67842640761808,127.0,250.0,1.9292867481708527,0.05434788018465042,-0.0008468185478704982,0.0021034784731455147,0.020574734688446717,0.06785000115633011,0.17951422951509438,0.0,0.5428000092506409
19,19456,2187.697911000002,45,0.03680000081658363,0.09736365040765416,0.0,0.29440000653266907,243.25,17.858821349685986,196.0,250.0,1.9337743520736694,0.050259909592568874,0.00991482159588486,0.00112910833558999,0.018750928102420593,0.03680000081658363,0.09736365040765416,0.0,0.29440000653266907
20,20480,2238.3051164031754,46,0.13794999942183495,0.27139324951637783,0.0,0.8091999888420105,218.625,65.047939052671,53.0,250.0,1.9348456859588623,0.04008764028549194,0.002919537393609062,0.0021652824070770293,0.01328480279582448,0.13794999942183495,0.27139324951637783,0.0,0.8091999888420105
21,21504,2200.844216449937,46,0.16575000062584877,0.21471543512029506,0.0,0.4708000123500824,214.375,46.25456058595736,147.0,250.0,1.9292619824409485,0.050646087154746056,-0.011452072067186236,0.0026395985623821616,0.02433366150724386,0.16575000062584877,0.21471543512029506,0.0,0.4708000123500824
22,22528,2190.924197526456,46,0.17835000157356262,0.23334030709969386,0.0,0.553600013256073,210.875,51.59321055138941,124.0,250.0,1.930719256401062,0.05075477808713913,-0.00111616296635475,0.0008158023847499862,0.015545687367933679,0.17835000157356262,0.23334030709969386,0.0,0.553600013256073
23,23552,2195.163701171291,47,0.1010500006377697,0.19029818361283132,0.0,0.553600013256073,228.875,42.0637536960267,124.0,250.0,1.9274547696113586,0.05341700650751591,0.011502096196636558,0.0010481276258360595,0.016916375488115247,0.1010500006377697,0.19029818361283132,0.0,0.553600013256073
24,24576,2108.1052951394427,47,0.3248500023037195,0.28547304461240885,0.0,0.7444000244140625,177.125,67.7429655019619,71.0,250.0,1.917313665151596,0.07513901963829994,-0.030835735145956278,0.006241788389161229,0.0458655642468339,0.3248500023037195,0.28547304461240885,0.0,0.7444000244140625
25,25600,1997.3359177212246,48,0.39730000123381615,0.32557805617977315,0.0,0.8199999928474426,157.0,77.85081887815953,50.0,250.0,1.9092586636543274,0.07450271211564541,0.0031851372332312167,0.001922061841469258,0.027773152701979074,0.39730000123381615,0.32557805617977315,0.0,0.8199999928474426
26,26624,2178.1906912701816,48,0.3375499974936247,0.3802094352211994,0.0,0.8416000008583069,170.125,93.50192177169409,44.0,250.0,1.9076586067676544,0.07879661023616791,-0.01068355655297637,0.00888466089963913,0.04666066611335231,0.3375499974936247,0.3802094352211994,0.0,0.8416000008583069
27,27648,2011.9383550510343,49,0.44769999384880066,0.36215823470944203,0.0,0.8416000008583069,143.0,87.80802924562195,44.0,250.0,1.8764661252498627,0.09875909797847271,-0.0159449172206223,0.005339733324944973,0.035159373603470254,0.44769999384880066,0.36215823470944203,0.0,0.8416000008583069
28,28672,2071.94368901408,49,0.3903499972075224,0.2962234504985024,0.0,0.7911999821662903,165.875,78.11599948154027,58.0,250.0,1.8183976709842682,0.12951494939625263,-0.018410270800814033,0.011164266616106033,0.08080804525382827,0.3903499972075224,0.2962234504985024,0.0,0.7911999821662903
29,29696,2186.4138396213784,50,0.41304999589920044,0.32485337415913934,0.0,0.7911999821662903,152.625,77.02749103404577,58.0,250.0,1.829774796962738,0.15403158962726593,-0.0038130280445329845,0.00874266866594553,0.05841803803268962,0.41304999589920044,0.32485337415913934,0.0,0.7911999821662903
