update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,1024,2270.418884108374,47,0.2935499995946884,0.3821908651929192,0.0,0.8812000155448914,22.625,32.2836549200985,0.0,88.0,1.7283269762992859,0.6476781219244003,0.10883369855582714,0.002176675188820809,0.11719824535315508,0.2935499995946884,0.3821908651929192,0.0,0.8812000155448914
2,2048,2254.24940848465,47,0.1753000020980835,0.31668639511430613,0.0,0.8812000155448914,208.25,76.5126623507508,33.0,250.0,1.7724459171295166,0.5597633421421051,0.16343597695231438,0.01663832808844745,0.1822807955347926,0.1753000020980835,0.31668639511430613,0.0,0.8812000155448914
3,3072,2251.78167145862,48,0.08224999904632568,0.21761304281187752,0.0,0.6579999923706055,230.625,51.26143165187644,95.0,250.0,1.7942411005496979,0.4903036206960678,0.09014754369854927,0.0029802636126987636,0.06299465412269746,0.08224999904632568,0.21761304281187752,0.0,0.6579999923706055
4,4096,2267.1614320968106,48,0.1334499977529049,0.23933891406360142,0.0,0.6579999923706055,219.875,54.95552178807877,95.0,250.0,1.8566733002662659,0.374561071395874,0.11309943348169327,0.00812623300589621,0.10730852917438193,0.1334499977529049,0.23933891406360142,0.0,0.6579999923706055
5,5120,2249.9167320168995,49,0.1083500012755394,0.2866671579286084,0.0,0.8668000102043152,223.375,70.44312865709472,37.0,250.0,1.8939138650894165,0.3143867328763008,0.06452261842787266,0.005293571040965617,0.0758241005066186,0.1083500012755394,0.2866671579286084,0.0,0.8668000102043152
6,6144,2254.5393203575163,49,0.16530000045895576,0.2828345659513452,0.0,0.8668000102043152,214.5,68.98550572402873,37.0,250.0,1.8927032053470612,0.24825743213295937,0.06442725285887718,0.003400322806555778,0.06506658603892847,0.16530000045895576,0.2828345659513452,0.0,0.8668000102043152
7,7168,2235.704549524226,50,0.1837499998509884,0.2849160524358815,0.0,0.8163999915122986,209.375,68.35374441096845,51.0,250.0,1.8982127010822296,0.20815955847501755,0.03576720878481865,0.004391133668832481,0.039638136234757926,0.1837499998509884,0.2849160524358815,0.0,0.8163999915122986
8,8192,2267.0680890977737,50,0.26285000145435333,0.32358717184389063,0.0,0.8163999915122986,190.875,79.01967713803948,51.0,250.0,1.9125159084796906,0.16295868903398514,0.030059033073484898,0.003123681410215795,0.030910260844086546,0.26285000145435333,0.32358717184389063,0.0,0.8163999915122986
9,9216,2256.2507267861815,51,0.08765000104904175,0.23190010519031495,0.0,0.701200008392334,229.125,55.23005861847333,83.0,250.0,1.9238265454769135,0.1228377353399992,0.03223149199038744,0.0009002559236250818,0.027148234217602322,0.08765000104904175,0.23190010519031495,0.0,0.701200008392334
10,10240,2267.8449848826785,51,0.015650000423192978,0.04140600913782422,0.0,0.12520000338554382,249.125,2.315032397181517,243.0,250.0,1.9307356774806976,0.0946456640958786,0.026224920991808176,0.0004962157545378432,0.014776165392923719,0.015650000423192978,0.04140600913782422,0.0,0.12520000338554382
