update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,1024,2678.776008961338,0,0.0,0.0,0,0,0.0,0.0,0,0,1.9405048787593842,0.1298510953783989,0.01900004968047142,0.000668103588395752,0.05119861031538947,0.0,0.0,0,0
2,2048,2537.606369647279,0,0.07765000127255917,0.15562602146424442,0.0,0.46720001101493835,235.375,33.387638056622094,148.0,250.0,1.9388752579689026,0.13004638254642487,0.030338267795741558,0.0016310595092363656,0.03560238053650722,0.07765000127255917,0.15562602146424442,0.0,0.46720001101493835
3,3072,2596.50034791556,1,0.07765000127255917,0.15562602146424442,0.0,0.46720001101493835,235.375,33.387638056622094,148.0,250.0,1.9392189979553223,0.09679228067398071,0.016959754284471273,0.00010406019191577798,0.014805834711356108,0.07765000127255917,0.15562602146424442,0.0,0.46720001101493835
4,4096,2544.3274962442006,1,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.935937762260437,0.07569471001625061,0.022669644095003605,0.00042423362901899964,0.02334044748725181,0.0,0.0,0.0,0.0
5,5120,2556.2299255563044,2,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.9327839016914368,0.05534550920128822,0.009827848989516497,3.5975041555502685e-05,0.007192923554503811,0.0,0.0,0.0,0.0
6,6144,2519.176856946617,2,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.9379417300224304,0.039477668702602386,0.011759364977478981,0.0001325958892266499,0.009335758195337576,0.0,0.0,0.0,0.0
7,7168,2527.584303081734,2,0.11420000344514847,0.3021448088385823,0.0,0.9136000275611877,221.75,74.74247453757468,24.0,250.0,1.939500868320465,0.03309602849185467,0.0004107209388166666,0.002424133592285216,0.012787969714849006,0.11420000344514847,0.3021448088385823,0.0,0.9136000275611877
8,8192,2466.643940825364,3,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.9406672418117523,0.02902301913127303,0.007743797963485122,0.0002287873467139434,0.0073258569965417505,0.0,0.0,0.0,0.0
9,9216,2569.7793419280492,3,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.9425239264965057,0.01754857273772359,0.004470944462809712,2.7056781163992127e-05,0.002854160814060356,0.0,0.0,0.0,0.0
10,10240,2544.1481457787254,4,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.9439837634563446,0.014363279100507498,0.004428194253705442,3.1651801236876054e-05,0.003170564675096056,0.0,0.0,0.0,0.0
